osmid,y,x,street_cou,highway,ref
36730965,41.1273055,-8.601518,3,,
60795247,41.170477,-8.6381035,3,,
62890972,41.1971414,-8.6682248,4,,
62890974,41.1967627,-8.668602,3,,
62890975,41.1966176,-8.6689483,3,,
62890977,41.1966317,-8.669938,3,,
62890979,41.1973876,-8.6714767,4,,
62890984,41.1981564,-8.6733125,4,,
62890985,41.1986975,-8.673889,3,,
62890991,41.2000948,-8.6756905,1,,
62892598,41.1958407,-8.666218,4,,
62897093,41.1997743,-8.666855,3,,
62913389,41.1996195,-8.6716487,4,,
62913390,41.1992045,-8.6717048,3,,
62913393,41.1986111,-8.6717914,3,,
62915435,41.1899203,-8.6751636,4,,
62915442,41.1916867,-8.6772559,4,,
62915443,41.1919098,-8.6771504,3,,
62915449,41.1966327,-8.6731264,4,,
62917391,41.1960361,-8.6715247,3,,
62917393,41.1964405,-8.6699415,3,,
62918457,41.1944238,-8.6706102,1,,
62921657,41.1927306,-8.6684003,3,,
62924606,41.2004939,-8.6688207,3,,
62924617,41.1976852,-8.6689912,3,,
62929803,41.1926669,-8.6701405,3,,
62941777,41.1940035,-8.6608607,4,,
62944785,41.1924219,-8.6678404,3,,
62944787,41.1927625,-8.6672732,4,,
62944790,41.193186,-8.667114,4,,
62944795,41.1977625,-8.6643976,4,traffic_signals,
62946572,41.2025249,-8.6638048,3,,
62946573,41.1989744,-8.6637551,3,,
62950557,41.1975084,-8.670045,1,,
62952208,41.1994637,-8.6691942,3,,
62952212,41.199473,-8.6685458,3,,
62953033,41.1987444,-8.6690824,1,,
62954778,41.1964561,-8.6681844,1,,
62966114,41.2004384,-8.673592,3,,
62966116,41.1998951,-8.6723284,3,,
64639473,41.2003593,-8.6657649,3,,
64639474,41.2005838,-8.6657981,3,,
64639480,41.2016754,-8.6637936,3,,
64640471,41.2008949,-8.6606407,3,,
64640472,41.2011089,-8.6608843,3,,
64640473,41.2012731,-8.6613627,3,,
64640479,41.2007082,-8.6629807,3,,
64640480,41.2003924,-8.6654595,3,,
64641283,41.1998726,-8.6657121,3,,
64644549,41.1994193,-8.6627054,3,,
64644554,41.2002651,-8.6606876,3,,
64644555,41.2004975,-8.6601776,3,,
64646401,41.2011249,-8.6656605,3,,
64646843,41.201632,-8.6652707,3,,
64647236,41.2006465,-8.6657761,3,,
64647242,41.2010321,-8.6654577,3,,
64647808,41.2006421,-8.6668242,1,,
64648108,41.2020504,-8.6675735,3,,
64648110,41.2020843,-8.6677006,3,,
64648929,41.2021259,-8.6683807,3,,
64648931,41.2018676,-8.6691882,3,,
64648932,41.2020161,-8.6692225,3,,
64648936,41.204378,-8.6664414,3,,
64649388,41.2034523,-8.6676294,4,,
64650619,41.2025909,-8.6684243,1,,
64652362,41.2013593,-8.6699636,3,,
64653261,41.2010474,-8.6703211,1,,
64653265,41.2000465,-8.6716343,3,,
64653634,41.2017384,-8.6703211,1,,
64653636,41.2013115,-8.6716499,3,,
64653702,41.2002938,-8.6710082,3,,
64653705,41.2015964,-8.6708619,3,,
64654984,41.2016127,-8.6716586,3,,
64655071,41.2013635,-8.6735986,3,,
64655073,41.201076,-8.6716615,3,,
64655296,41.2009811,-8.6734262,3,,
64655298,41.2005538,-8.6716609,3,,
64655936,41.2004674,-8.6730922,1,,
64655938,41.2001895,-8.6723229,3,,
64656405,41.1999827,-8.6741197,3,,
64656708,41.2006925,-8.6749747,1,,
64659446,41.1924363,-8.6697251,3,,
64661163,41.1915507,-8.6660976,3,,
64661170,41.1899038,-8.6699774,3,,
64661180,41.18911,-8.6750594,3,,
64661182,41.1880261,-8.6757157,3,,
64661184,41.1878319,-8.6757533,4,,
64661186,41.1874234,-8.6757433,3,,
64661188,41.1870192,-8.6760814,3,,
64661190,41.1866438,-8.6770631,3,,
64661315,41.187144,-8.6757687,3,,
64661316,41.1873061,-8.6756279,4,,
64661318,41.1878439,-8.6754304,3,,
64661319,41.1882517,-8.6752977,3,,
64661776,41.1935787,-8.6726774,1,,
64661777,41.193881,-8.6729317,3,,
64661778,41.1950792,-8.674615,3,,
64661878,41.1941177,-8.6725957,1,,
64661879,41.1953434,-8.674313,3,,
64662075,41.1950225,-8.6733115,1,,
64662077,41.1955887,-8.674005,3,,
64662143,41.1943456,-8.6722089,1,,
64662144,41.195784,-8.6737973,3,,
64662481,41.1945957,-8.6717803,1,,
64662482,41.1961715,-8.6734969,4,,
64663101,41.1926869,-8.679327,1,,
64663108,41.1919228,-8.6773797,3,,
64663158,41.1930293,-8.6767405,1,,
64663160,41.1921667,-8.6775582,3,,
64663666,41.1943276,-8.6771222,1,,
64663668,41.1941068,-8.6765436,3,,
64663669,41.1940272,-8.6764144,3,,
64663675,41.1948239,-8.6753027,3,,
64663677,41.1948763,-8.6748426,3,,
64663942,41.1962297,-8.6777026,3,,
64663948,41.1949312,-8.6761318,3,,
64664138,41.1953485,-8.6759801,3,,
64664144,41.1957711,-8.6775738,3,,
64664444,41.1955965,-8.6758465,3,,
64664445,41.1959673,-8.6772688,1,,
64664874,41.1974215,-8.679098,1,,
64664875,41.197108,-8.6790845,3,,
64664876,41.1966107,-8.6790845,3,,
64664877,41.1964808,-8.6789234,3,,
64664880,41.1961621,-8.6784028,3,,
64664881,41.1961685,-8.6779908,4,,
64664889,41.1955258,-8.6740996,3,,
64665929,41.1969214,-8.6775009,3,,
64665932,41.1969603,-8.67663,3,,
64665935,41.1969145,-8.6750372,3,,
64665936,41.196704,-8.6746509,4,,
64665937,41.1963889,-8.6740813,3,,
64666404,41.1956325,-8.6778277,1,,
64666406,41.196926,-8.6780242,3,,
64666560,41.1962776,-8.6774456,3,,
64666813,41.1959314,-8.6751566,3,,
64667442,41.1977444,-8.6773127,1,,
64667444,41.1969433,-8.6773432,3,,
64667649,41.1977637,-8.6767119,1,,
64667830,41.1972461,-8.6762467,1,,
64668005,41.1974574,-8.6763043,1,,
64668915,41.2034226,-8.6631177,3,,
64668918,41.2032597,-8.6637035,3,,
64669021,41.2030993,-8.6635393,3,,
64669540,41.2028784,-8.6636828,3,,
64669640,41.2033504,-8.6646254,3,,
64669714,41.2030443,-8.6641001,3,,
64669751,41.2036081,-8.6651116,3,,
64669973,41.2039696,-8.6579091,3,,
87006477,41.2029033,-8.6640022,3,,
87006487,41.2032437,-8.6639727,3,,
87009269,41.2103117,-8.6771388,4,,
87009274,41.209641,-8.6756389,3,,
87009277,41.2097849,-8.6732137,3,,
87009296,41.2050055,-8.6670648,3,,
87012208,41.1924271,-8.6698403,3,,
87020476,41.1900299,-8.6745037,3,,
87041454,41.1898374,-8.674503,3,,
87057062,41.1903634,-8.6746934,3,,
90378713,41.1569695,-8.6294021,3,,
90378716,41.1578748,-8.6279141,3,,
90379359,41.1552865,-8.6721342,3,,
90379616,41.154912,-8.6731032,3,,
90379618,41.154823,-8.6723674,3,,
90379759,41.1534242,-8.6756822,4,,
90380150,41.1549514,-8.6773006,3,,
90380817,41.1497859,-8.6761166,4,,
90381086,41.1476677,-8.6731276,3,,
90381095,41.1481,-8.6742868,4,,
96497243,41.1778207,-8.6563346,3,traffic_signals,
96497255,41.1757606,-8.6708931,4,,
105748385,41.1918961,-8.6655455,3,,
105748388,41.1923302,-8.6645719,3,,
111415443,41.1603361,-8.6439449,3,,
111415445,41.1600204,-8.6420585,4,,
111415446,41.1589918,-8.6358336,4,,
111416206,41.1607815,-8.658169,4,,
111428003,41.1681621,-8.6880264,3,,
111428008,41.1683804,-8.6884635,3,,
111428028,41.1673547,-8.6885946,3,,
111429621,41.1671451,-8.68815,3,,
111439225,41.1571219,-8.6818903,3,,
111445022,41.1483484,-8.6729308,3,crossing,
111447960,41.1484224,-8.6541346,3,,
111447963,41.1482725,-8.6548132,3,,
111447973,41.147489,-8.6613495,3,,
111448461,41.1485592,-8.6533216,3,,
111448467,41.1486712,-8.6540582,4,,
111449494,41.1485143,-8.6532736,3,,
111450380,41.1483481,-8.6532324,3,,
111452218,41.1489564,-8.6540712,3,,
111459759,41.148402,-8.6459497,3,,
111459776,41.1483305,-8.6375375,3,,
111459780,41.1481085,-8.6359246,3,,
111461666,41.1509208,-8.6355071,3,,
111461672,41.1510793,-8.6336503,3,,
111464592,41.1539618,-8.6449368,3,motorway_junction,
111467270,41.1474276,-8.6337433,3,,
111467271,41.146954,-8.6328764,3,,
111467467,41.1447585,-8.6267551,3,,
111481288,41.1414248,-8.613438,4,traffic_signals,
111481561,41.1416486,-8.6145205,3,traffic_signals,
111481848,41.1416589,-8.6153136,4,traffic_signals,
111503635,41.1684974,-8.6880628,3,,
111505998,41.1726625,-8.6882792,3,,
111508025,41.1730415,-8.6883267,3,,
111508026,41.1731246,-8.688282,3,,
111508341,41.1736164,-8.6884308,3,,
111508660,41.1747167,-8.6889019,3,,
111619640,41.1735769,-8.689151,3,,
111619646,41.1729125,-8.6886988,3,,
111622360,41.1764537,-8.6911853,3,,
111627979,41.1765964,-8.6891266,4,crossing,
111630982,41.1742724,-8.6720372,3,,
111633569,41.1774721,-8.6577885,4,,
111634978,41.1775647,-8.6571291,3,,
111635267,41.1783009,-8.6563058,3,,
111635403,41.178011,-8.6560048,3,,
111636733,41.1777115,-8.6557174,3,,
111636738,41.1780031,-8.6550442,3,,
111636742,41.1783026,-8.655249,3,,
111636743,41.1783165,-8.6552994,3,,
111638824,41.1787663,-8.6568078,3,,
111641067,41.180645,-8.6499415,3,,
111641069,41.1794714,-8.6519825,3,,
111641071,41.1786955,-8.6535509,3,,
111641319,41.1790288,-8.6563727,3,,
111642668,41.1796033,-8.6573695,3,,
111644723,41.1794889,-8.6574452,3,motorway_junction,3
111645303,41.1795319,-8.6581699,3,,
111649545,41.17718,-8.6542056,3,,
111799455,41.1582765,-8.6302214,3,,
111830195,41.1608924,-8.6465544,3,,
112263308,41.1758181,-8.6526817,3,motorway_junction,3
112265315,41.1777597,-8.6527948,3,,
112288397,41.1755873,-8.6534286,3,,
112288401,41.1753435,-8.6533976,3,,
112290052,41.1761621,-8.6517451,4,,
112290053,41.1750611,-8.6532698,4,,
112290054,41.1748229,-8.6535476,3,,
112291402,41.1752892,-8.6529931,4,,
112552931,41.1749388,-8.6526768,3,,
112552937,41.1749473,-8.652882,3,,
112580224,41.1762338,-8.6510449,3,,
112580529,41.1764453,-8.6513189,4,,
112581017,41.1766913,-8.6516243,3,,
112588576,41.1686175,-8.6440803,3,,
112589349,41.1686011,-8.6437941,3,motorway_junction,
112594210,41.1645081,-8.6371713,5,,
112594236,41.1653756,-8.6395478,3,,
112594241,41.1658674,-8.6403771,3,,
112594525,41.1660439,-8.6400928,3,,
112595515,41.1656611,-8.6405004,3,,
112613531,41.1821035,-8.6470294,3,,
112613532,41.1826059,-8.6461401,5,,
112613542,41.1842601,-8.6422114,3,,
112613584,41.1831689,-8.6134596,4,,
112613589,41.1837498,-8.6113737,3,,
112613592,41.1844453,-8.6095467,5,,
112613596,41.1845969,-8.6073555,3,,
112613598,41.1842187,-8.6055783,3,,
112613601,41.1837765,-8.6034781,4,,
112613628,41.181023,-8.5833243,4,,
112613629,41.1809304,-8.5831314,5,,
112613631,41.1805609,-8.5823907,3,,
112613636,41.1809001,-8.5766111,3,,
112617114,41.1805735,-8.5755391,3,,
112617118,41.1799678,-8.5725586,3,,
112617119,41.179962,-8.5721963,3,,
112617141,41.1702078,-8.5701353,3,,
112617145,41.1697681,-8.5705924,3,,
112617147,41.1683239,-8.5708255,3,,
112617153,41.1675045,-8.5702377,4,,
112627996,41.1822401,-8.6185777,3,,
112627997,41.1817841,-8.6193071,3,,
112628000,41.1806614,-8.6219016,3,,
112628017,41.1839497,-8.6409582,3,,
112628020,41.1843055,-8.6416535,5,,
112628026,41.1827697,-8.6462068,4,,
112640152,41.1827364,-8.6224139,3,,
112641245,41.1779013,-8.622481,3,,
112651985,41.1797965,-8.5888345,3,,
112651987,41.1798615,-8.5895612,4,,
112651995,41.1834539,-8.601425,3,,
112652003,41.1845936,-8.6094518,3,,
112652004,41.1845514,-8.6096796,3,,
112652015,41.1833293,-8.6134476,4,,
112652019,41.182741,-8.617751,3,,
112652932,41.1809453,-8.5934728,3,,
112664262,41.1794677,-8.5703125,3,,
112664292,41.1810177,-8.5765633,3,,
112664296,41.1805552,-8.5815274,3,,
112664300,41.1805876,-8.5819868,3,,
112664304,41.1807415,-8.5823903,3,,
112664316,41.1813231,-8.584466,3,,
112664320,41.1800592,-8.5863766,3,,
112675715,41.1575628,-8.6280032,3,,
112677103,41.16275,-8.6331077,3,traffic_signals,
112677104,41.163241,-8.6334964,3,crossing,
112686793,41.1406576,-8.6096627,1,,
112688608,41.1432353,-8.5864628,3,,
112688628,41.144493,-8.5784099,3,,
112693300,41.2034029,-8.6902135,3,motorway_junction,7
112693307,41.2020963,-8.6896774,3,,
112694575,41.2025112,-8.6897749,3,,
112694581,41.2008572,-8.6885199,3,motorway_junction,7
112694584,41.1965658,-8.6841048,3,motorway_junction,6
114302213,41.1808482,-8.6800419,3,,
114302214,41.1810456,-8.6792516,3,,
114302525,41.1805933,-8.6808788,3,,
114302538,41.1807554,-8.6819597,3,,
114302543,41.1808149,-8.6821053,3,,
114302558,41.1807118,-8.6824552,3,,
114302571,41.1804489,-8.6824677,3,,
114302589,41.1821705,-8.6831056,3,,
114302594,41.1805453,-8.6837215,4,,
114302596,41.1804793,-8.6846956,3,,
114302599,41.1804014,-8.6856549,3,,
114302601,41.1803363,-8.6866393,4,,
114302604,41.1802707,-8.687608,4,,
114302606,41.1802061,-8.6885746,3,,
114302622,41.1799769,-8.6895279,4,,
114302625,41.1801143,-8.6875881,4,,
114302629,41.18019,-8.6866258,4,,
114302631,41.1802594,-8.6856412,3,,
114302635,41.1803328,-8.6846815,3,,
114302637,41.1804033,-8.6837094,4,,
114302693,41.1965322,-8.6279082,3,,
114302699,41.1989572,-8.6273274,3,,
114302804,41.2003327,-8.6274638,3,,
114310686,41.1520715,-8.5749686,3,motorway_junction,1
114310696,41.1499065,-8.5786264,3,,
114310699,41.1491995,-8.5808614,3,,
114310705,41.1480176,-8.5815075,3,motorway_junction,1
114310714,41.1460615,-8.5794325,3,,
114312390,41.1512331,-8.5779888,3,,
114314002,41.1520746,-8.574699,3,,
114315556,41.146385,-8.5796626,3,motorway_junction,1
114315563,41.1475865,-8.5812331,3,motorway_junction,1
114315578,41.1495021,-8.5798341,3,,
114320429,41.1462573,-8.5791502,3,,
114320432,41.1462377,-8.5792721,3,,
114320445,41.1458821,-8.5793258,3,,
114320452,41.1458378,-8.5791579,3,,
114320458,41.1460517,-8.5788761,3,,
114320465,41.146241,-8.579047,3,,
114323948,41.1462924,-8.5787046,3,,
114324784,41.1455662,-8.5796527,3,,
122432550,41.1650366,-8.6308069,4,,
122432560,41.1637296,-8.6336666,3,,
122432561,41.1628949,-8.6352081,3,,
122432566,41.1625307,-8.6359462,3,,
122434048,41.1629893,-8.6350672,3,,
122439068,41.1647122,-8.6270836,4,traffic_signals,
122439070,41.1650357,-8.6297021,3,traffic_signals,
122452407,41.1605486,-8.5934639,3,,
122452409,41.1606069,-8.5943292,3,,
122452412,41.1611025,-8.5982534,4,traffic_signals,
122452414,41.1613654,-8.60031,4,traffic_signals,
122452417,41.1615383,-8.6016969,3,,
122452424,41.1621694,-8.6068578,4,traffic_signals,
122452425,41.1624758,-8.6092234,4,traffic_signals,
122452427,41.1627093,-8.6111351,4,traffic_signals,
122452429,41.1628962,-8.6126189,3,,
122452434,41.1639052,-8.6207018,4,traffic_signals,
122491912,41.1776376,-8.5829121,4,,
122491913,41.1743566,-8.5845737,4,,
122509808,41.1784349,-8.6893489,4,,
122523494,41.1522916,-8.6776262,3,,
122523605,41.1545235,-8.6797023,3,,
122525234,41.152985,-8.6783507,3,,
122525235,41.153449,-8.6787639,3,,
122525425,41.1528939,-8.678571,3,,
122528341,41.1494088,-8.6755597,3,,
122528346,41.149878,-8.6758709,3,,
122528348,41.150286,-8.6759929,3,,
122528349,41.1506522,-8.6762608,4,,
122528351,41.1510805,-8.6765626,3,,
122535293,41.1478548,-8.674027,3,crossing,
122535567,41.1486029,-8.6733018,3,crossing,
122535570,41.148261,-8.6741177,3,crossing,
122535992,41.1484969,-8.6732279,5,crossing,
122535994,41.1481592,-8.6740414,3,crossing,
122549700,41.1442647,-8.6235745,3,traffic_signals,
125800790,41.199391,-8.6574557,3,,
125800815,41.1978474,-8.6607582,3,,
125804428,41.1999825,-8.6541402,3,,
125809997,41.1819205,-8.653155,3,,
126397454,41.1567787,-8.6455756,3,,
126401360,41.1549288,-8.6480341,3,,
126401368,41.1573769,-8.6454697,3,,
126401370,41.1576099,-8.6455537,3,,
126404025,41.1576251,-8.6452777,3,,
126404027,41.1578684,-8.6452239,3,,
126404031,41.1579492,-8.6452239,3,,
126410483,41.1582609,-8.6451306,3,,
126411674,41.159638,-8.6480752,3,,
126411675,41.1589957,-8.6474427,3,,
126542182,41.1597645,-8.6500167,3,,
126542188,41.1590659,-8.6483137,3,,
126543210,41.1601343,-8.6490693,3,,
126544301,41.1581908,-8.64944,3,,
126544304,41.1584634,-8.6494794,3,,
126547500,41.1601103,-8.6501374,3,,
126554316,41.1564243,-8.6485732,3,,
126580298,41.1644214,-8.64829,3,,
126580303,41.1644132,-8.6491665,4,,
126580884,41.1644474,-8.6475889,3,motorway_junction,
126581609,41.164332,-8.6489068,3,,
126581622,41.1637503,-8.6485605,3,,
126582697,41.1632676,-8.6494904,3,,
126583944,41.1616708,-8.649894,3,,
126592365,41.1666769,-8.6264841,4,,
126597343,41.1620091,-8.6325164,4,traffic_signals,
126597726,41.1636071,-8.62909,3,,
126598827,41.1635081,-8.6274598,4,traffic_signals,
126600950,41.1633519,-8.6248028,5,traffic_signals,
126600959,41.1627307,-8.6208599,4,traffic_signals,
126604779,41.1758929,-8.6278359,3,,
126604780,41.1751065,-8.6276431,3,,
126604783,41.1732552,-8.6267046,3,,
126604785,41.1684558,-8.6254713,3,,
126604789,41.1598804,-8.624661,4,traffic_signals,
126608577,41.1691499,-8.6256211,3,,
126617351,41.1603666,-8.6044477,4,traffic_signals,
126617352,41.1598906,-8.6027699,4,,
126617354,41.1594394,-8.6010628,4,traffic_signals,
126617427,41.1623639,-8.6164669,4,traffic_signals,
126617428,41.161721,-8.6113729,4,,
126617430,41.1614656,-8.6095973,4,traffic_signals,
126617431,41.1610402,-8.607491,4,traffic_signals,
126617433,41.1605885,-8.6052113,4,traffic_signals,
126634476,41.1618277,-8.6040169,3,,
126638962,41.1563482,-8.5946309,3,,
126646458,41.1494046,-8.6004404,3,,
126647309,41.1505026,-8.6002415,3,,
128560274,41.1580559,-8.6122303,3,,
128560275,41.1573409,-8.6126514,3,,
128560419,41.1776249,-8.614101,4,,
128560421,41.1763742,-8.6140974,3,,
128560423,41.1757348,-8.6138847,3,,
128560426,41.1750581,-8.6136855,3,,
128560429,41.1740298,-8.6132806,3,crossing,
128560437,41.1710753,-8.6128402,3,,
128560439,41.170369,-8.6129333,3,,
128560446,41.167014,-8.6117522,3,traffic_signals,
128560448,41.1649768,-8.6109795,3,,
128566335,41.1718292,-8.6127436,3,traffic_signals,
128571476,41.1748058,-8.6126689,3,,
128573633,41.1746525,-8.6141709,3,,
128575853,41.1741811,-8.6140041,3,,
128577510,41.1742225,-8.6127512,3,,
128577519,41.1741101,-8.6100682,3,,
128578706,41.1714409,-8.6057642,4,traffic_signals,
128579264,41.1730101,-8.6074554,3,,
128579825,41.1728529,-8.6069436,3,,
128580161,41.1731625,-8.6056814,4,,
128581937,41.1725805,-8.6053176,3,,
128583756,41.1713109,-8.6039516,3,,
128583855,41.1713619,-8.6029104,3,,
128586501,41.1721787,-8.604757,3,,
128587416,41.1717809,-8.6031044,3,,
128588858,41.1725769,-8.6043711,3,,
128597080,41.1736115,-8.6058176,4,traffic_signals,
128616477,41.1747962,-8.6136826,4,,
128616478,41.1742324,-8.6134644,4,,
128617100,41.1742443,-8.6133064,4,,
128617101,41.1748731,-8.6135149,4,,
128651490,41.1803973,-8.5821775,3,,
128651494,41.1802754,-8.5818418,3,,
128655622,41.1666721,-8.5705712,3,,
128655623,41.166486,-8.5706385,3,,
128655624,41.1658931,-8.570706,3,,
128655625,41.1648696,-8.5712544,3,,
128655629,41.1631607,-8.5728588,3,,
128655630,41.1616471,-8.5759967,3,,
128655633,41.1613361,-8.5764055,3,,
128655638,41.1597934,-8.5792965,3,,
128655642,41.1593437,-8.5805276,3,,
128655643,41.1593488,-8.5806482,3,,
128655654,41.1588866,-8.5829437,3,,
128655660,41.1576704,-8.5859858,3,,
128655671,41.1560823,-8.5938657,4,,
128668277,41.1537015,-8.6502971,4,,
128668278,41.1533918,-8.6507378,3,,
128668285,41.1524811,-8.6516768,3,,
128668299,41.1517135,-8.6559524,3,,
128668303,41.1511072,-8.6573042,3,,
128668307,41.1505047,-8.6606128,3,,
128668309,41.1504431,-8.6628412,3,,
128668316,41.1524312,-8.6693944,3,,
128669173,41.1541883,-8.6498529,3,,
128669175,41.1540473,-8.6502034,3,,
128672584,41.1544954,-8.6438478,3,,
128673221,41.1523893,-8.6271726,3,,
128673222,41.1524782,-8.628743,4,,
128673223,41.1525836,-8.6306176,4,,
128674452,41.1523141,-8.6261136,4,,
128674453,41.1527713,-8.6245762,3,,
128676154,41.1549825,-8.6269552,3,,
128677717,41.1481991,-8.6241792,3,,
128677724,41.1508542,-8.6259533,3,,
128679581,41.1460322,-8.620166,4,traffic_signals,
128680158,41.1463677,-8.617693,3,traffic_signals,
129544876,41.145891,-8.6135435,3,traffic_signals,
129548927,41.157254,-8.6099838,4,,
129548929,41.1587311,-8.6099353,3,,
129548933,41.1657008,-8.6084213,3,,
129549662,41.1566275,-8.6118764,4,,
129550139,41.155154,-8.6076319,3,,
129550851,41.1535829,-8.6079375,3,,
129552044,41.1554359,-8.6076504,4,,
129552045,41.1567979,-8.6076897,3,,
129552046,41.157594,-8.6071936,3,,
129552048,41.1591748,-8.6061414,3,,
129552512,41.1551925,-8.6059452,3,,
129553665,41.1483178,-8.6063294,3,traffic_signals,
129553667,41.1470247,-8.6068069,4,traffic_signals,
129553875,41.1476365,-8.6039313,4,traffic_signals,
129554083,41.1465342,-8.6038217,3,traffic_signals,
129554561,41.1472894,-8.602621,3,,
129555296,41.1486949,-8.6005827,4,traffic_signals,
129557542,41.1454688,-8.6155816,3,,
129558556,41.1449455,-8.6173405,3,,
129558976,41.1427883,-8.615299,3,traffic_signals,
129559333,41.1451899,-8.610926,3,,
129559334,41.1427381,-8.614152,4,traffic_signals,
129665112,41.1508289,-8.6565083,4,,
129665113,41.1504707,-8.6563693,3,,
129667176,41.1504079,-8.656015,3,,
129667179,41.1511699,-8.6562429,3,,
129676781,41.1514604,-8.6564339,3,,
129692092,41.1553921,-8.6482639,3,,
129692094,41.1549543,-8.6480622,3,,
129777800,41.1549438,-8.6486768,3,,
129777802,41.1547352,-8.6490088,3,,
129779462,41.1550159,-8.6484203,3,,
129784803,41.1514765,-8.6414847,3,,
129786479,41.1513944,-8.6406315,4,,
129788146,41.151081,-8.6356995,3,,
